journal_name,issn,issn_e,approx_works
Scientometrics,0138-9130,1588-2861,8357
Journal of Informetrics,1751-1577,1875-5879,1688
Quantitative Science Studies,2641-3337,2641-3337,445
Research Evaluation,0958-2029,1471-5449,1198
JASIST,2330-1635,2330-1643,2288
Information Processing & Management,0306-4573,1873-5371,6542
Journal of Information Science,0165-5515,1741-6485,3421
Aslib Journal of Information Management,2050-3806,2050-3806,728
Library & Information Science Research,0740-8188,1879-1034,1846
Online Information Review,1468-4527,1468-4527,2272
Journal of Documentation,0022-0418,1758-7379,3009
The Lancet Digital Health,2589-7500,2589-7500,1000
npj Digital Medicine,2398-6352,2398-6352,2733
Artificial Intelligence in Medicine,0933-3657,1873-2860,3542
JAMIA,1527-974X,1527-974X,5189
Journal of Medical Internet Research,1438-8871,1438-8871,11512
Journal of Biomedical Informatics,1532-0464,1532-0480,4439
Digital Health,2055-2076,2055-2076,3620
