journal_name,issn,issn_e,openalex_id,approx_works
Scientometrics,0138-9130,1588-2861,S148561398,8357
Journal of Informetrics,1751-1577,1875-5879,S205292342,1688
Quantitative Science Studies,2641-3337,2641-3337,S4210195326,445
Research Evaluation,0958-2029,1471-5449,S16793705,1198
JASIST,2330-1635,2330-1643,S4210197613,2288
Information Processing & Management,0306-4573,1873-5371,S174847851,6542
Journal of Information Science,0165-5515,1741-6485,S68913162,3421
Aslib Journal of Information Management,2050-3806,2050-3806,S4210181081,728
Library & Information Science Research,0740-8188,1879-1034,S186163925,1846
Online Information Review,1468-4527,1468-4527,S931548824,2272
Journal of Documentation,0022-0418,1758-7379,S10082577,3009
The Lancet Digital Health,2589-7500,2589-7500,S4210237014,1000
npj Digital Medicine,2398-6352,2398-6352,S4210195431,2733
Artificial Intelligence in Medicine,0933-3657,1873-2860,S42468263,3542
JAMIA,1527-974X,1527-974X,S129839026,5189
Journal of Medical Internet Research,1438-8871,1438-8871,S17147534,11512
Journal of Biomedical Informatics,1532-0464,1532-0480,S11622463,4439
Digital Health,2055-2076,2055-2076,S4210188408,3620
Social Science Computer Review,0894-4393,1552-8286,S127118166,1200
Research Policy,0048-7333,1873-7625,S9731383,9800
